Adam Scott,1,0,0,0
Al Geiberger,0,0,0,1
Alec Ross,0,1,0,0
Alex Smith,0,2,0,0
Alf Padgham,0,0,1,0
Alf Perry,0,0,1,0
Andrew Strath,0,0,1,0
Andy North,0,2,0,0
Angel Cabrera,1,1,0,0
Arnaud Massy,0,0,1,0
Arnold Palmer,4,1,2,0
Art Wall Jr.,1,0,0,0
Arthur Havers,0,0,1,0
Ben Crenshaw,2,0,0,0
Ben Curtis,0,0,1,0
Ben Hogan,2,4,1,2
Bernhard Langer,2,0,0,0
Bill Rogers,0,0,1,0
Billy Burke,0,1,0,0
Billy Casper,1,2,0,0
Bob Charles,0,0,1,0
Bob Ferguson,0,0,3,0
Bob Goalby,1,0,0,0
Bob Hamilton,0,0,0,1
Bob Martin,0,0,2,0
Bob Rosburg,0,0,0,1
Bob Tway,0,0,0,1
Bobby Jones,0,4,3,0
Bobby Locke,0,0,4,0
Bobby Nichols,0,0,0,1
Brian Harman,0,0,1,0
Brooks Koepka,0,2,0,3
Bryson DeChambeau,0,1,0,0
Bubba Watson,2,0,0,0
Byron Nelson,2,1,0,2
Cameron Smith,0,0,1,0
Cary Middlecoff,1,2,0,0
Chandler Harper,0,0,0,1
Charl Schwartzel,1,0,0,0
Charles Coody,1,0,0,0
Chick Evans,0,1,0,0
Chick Harbert,0,0,0,1
Claude Harmon,1,0,0,0
Collin Morikawa,0,0,1,1
Corey Pavin,0,1,0,0
Craig Stadler,1,0,0,0
Craig Wood,1,1,0,0
Curtis Strange,0,2,0,0
Cyril Walker,0,1,0,0
Danny Willett,1,0,0,0
Darren Clarke,0,0,1,0
Dave Marr,0,0,0,1
Dave Stockton,0,0,0,2
David Brown,0,0,1,0
David Duval,0,0,1,0
David Graham,0,1,0,1
David Toms,0,0,0,1
Davis Love III,0,0,0,1
Denny Shute,0,0,1,2
Dick Burton,0,0,1,0
Dick Mayer,0,1,0,0
Don January,0,0,0,1
Doug Ford,1,0,0,1
Dow Finsterwald,0,0,0,1
Dustin Johnson,1,1,0,0
Ed Furgol,0,1,0,0
Ernie Els,0,2,2,0
Francesco Molinari,0,0,1,0
Francis Ouimet,0,1,0,0
Fred Couples,1,0,0,0
Fred Daly,0,0,1,0
Fred Herd,0,1,0,0
Fred McLeod,0,1,0,0
Fuzzy Zoeller,1,1,0,0
Gary Player,3,1,3,2
Gary Woodland,0,1,0,0
Gay Brewer,1,0,0,0
Gene Littler,0,1,0,0
Gene Sarazen,1,2,1,3
Geoff Ogilvy,0,1,0,0
George Archer,1,0,0,0
George Duncan,0,0,1,0
George Sargent,0,1,0,0
Graeme McDowell,0,1,0,0
Greg Norman,0,0,2,0
Hal Sutton,0,0,0,1
Hale Irwin,0,3,0,0
Harold Hilton,0,0,2,0
Harry Vardon,0,1,6,0
Henrik Stenson,0,0,1,0
Henry Cotton,0,0,3,0
