Team, P, W, D, L,GF,GA, GD,Points
Leicester City,38,23,12, 3,68,36, 0,0
Arsenal,38,20,11, 7,65,36, 0,0
Tottenham Hotspur,38,19,13, 6,69,35, 0,0
Manchester City,38,19, 9,10,71,41, 0,0
Manchester United,38,19, 9,10,49,35, 14,0
Southampton,38,18, 9,11,59,41, 0,0
West Ham United,38,16,14, 8,65,51, 0,0
Liverpool,38,16,12,10,63,50, 0,0
Stoke City,38,14, 9,15,41,55,0,0
Chelsea,38,12,14,12,59,53,  0,0
Everton,38,11,14,13,59,55,  0,0
Swansea City,38,12,11,15,42,52,0,0
Watford,38,12, 9,17,40,50,0,0
West Bromwich Albion,38,10,13,15,34,48,0,0
Crystal Palace,38,11, 9,18,39,51,0,0
Bournemouth,38,11, 9,18,45,67,0,0
Sunderland,38, 9,12,17,48,62,0,0
Newcastle United,38, 9,10,19,44,65,0,0
Norwich City,38, 9, 7,22,39,67,0,0
Aston Villa,38, 3, 8,27,27,76,0,0
